"(""DBpedia"" OR ""Knowledge base"")","164290","['DBpedia and YAGO as Knowledge Base for Natural Language Based Question Answering—The Evaluation', 'Semantic Clustering of Scientific Articles with Use of DBpedia Knowledge Base', 'Linking Named Entity in a Question with DBpedia Knowledge Base', 'CN-DBpedia: A Never-Ending Chinese Knowledge Extraction System', 'Serving DBpedia with DOLCE – More than Just Adding a Cherry on Top', 'A Graph Traversal Based Approach to Answer Non-Aggregation Questions over DBpedia', 'DBpedia Live Extraction', 'ACRyLIQ: Leveraging DBpedia for Adaptive Crowdsourcing in Linked Data Quality Assessment', 'Entity Typing Using Distributional Semantics and DBpedia', 'Collective Entity Linking Based on DBpedia', 'Clustering of Rough Set Related Documents with Use of Knowledge from DBpedia', 'DoSeR - A Knowledge-Base-Agnostic Framework for Entity Disambiguation Using Semantic Embeddings', 'Agent for Mining of Significant Concepts in DBpedia', 'Building “Bag of Conception” Model Based on DBpedia', 'A Novel Method to Predict Type for DBpedia Entity', 'Entity Typing and Linking Using SPARQL Patterns and DBpedia', 'Matching Web Tables with Knowledge Base Entities: From Entity Lookups to Entity Embeddings', 'Resource Propagation Algorithm to Reinforce Knowledge Base in Linked Data', 'DBpedia: A Nucleus for a Web of Open Data', 'Towards an Automatic Creation of Localized Versions of DBpedia']","['Man-Machine Interactions 5', 'Intelligent Tools for Building a Scientific Information Platform', 'Semantic Technology', 'Advances in Artificial Intelligence: From Theory to Practice', 'The Semantic Web - ISWC 2015', 'Semantic Technology', 'On the Move to Meaningful Internet Systems: OTM 2009', 'Knowledge Engineering and Knowledge Management', 'Knowledge Graphs and Language Technology', 'Knowledge Graph and Semantic Computing. Language, Knowledge, and Intelligence', 'Rough Sets and Knowledge Technology', 'The Semantic Web. Latest Advances and New Domains', 'Knowledge Technology', 'Advances in Software Engineering', 'Modern Approaches for Intelligent Information and Database Systems', 'Semantic Web Challenges', 'The Semantic Web – ISWC 2017', 'Advances in Network-Based Information Systems', 'The Semantic Web', 'The Semantic Web – ISWC 2013']","(""DBpedia"" OR ""Knowledge base"") AND (title: ""DBpedia and YAGO as Knowledge Base for Natural Language Based Question Answering—The Evaluation"")","1","['DBpedia and YAGO as Knowledge Base for Natural Language Based Question Answering—The Evaluation']","['Man-Machine Interactions 5']","False","17:15:55"
"(""Algorithm"" OR ""Approximation algorithm"" OR ""Beam tracing"" OR ""Ray tracing "")","1387582","['Computing caustic effects by backward beam tracing', 'Predicting RF coverage in large environments using ray-beam tracing and partitioning tree represented geometry', 'A beam-tracing algorithm for prediction of indoor radio propagation', 'A method for speeding up beam-tracing simulation using thread-level parallelization', 'Optimization techniques for ray-tracing', 'R-LODs: fast LOD-based ray tracing of massive models', 'Beam tracing in determining the inclination of radiation in complex industrial geometry', 'Accelerated Ray Tracing', 'Two-Dimensional Beam Tracing from Visibility Diagrams for Real-Time Acoustic Rendering', 'Conservative Radiance Interpolants for Ray Tracing', 'Efficient Ray Tracing Using Interval Analysis', 'The HERO Algorithm for Ray-Tracing Octrees', 'The Early History of Ray Tracing in Acoustics', 'An Efficient Algorithm for Ray Tracing', 'Physical-geometric optics hybrid methods for computing the scattering and absorption properties of ice crystals and dust aerosols', 'Optimistic Multi-Processor Ray Tracing', 'Ray Tracing Algorithms — Theory and Practice', 'Improving the Interval Ray Tracing of Implicit Surfaces', 'Computability and complexity of ray tracing', 'Beam splitting algorithm for the problem of light scattering by atmospheric ice crystals. Part 2. comparison with the ray tracing algorithm']","['The Visual Computer', 'Wireless Networks', 'Applied Computational Geometry Towards Geometric Engineering', 'Engineering with Computers', 'Image Synthesis', 'The Visual Computer', 'Steel in Translation', 'Computer Graphics', 'EURASIP Journal on Advances in Signal Processing', 'Rendering Techniques ’96', 'Parallel Processing and Applied Mathematics', 'Advances in Computer Graphics Hardware IV', 'Acoustics, Information, and Communication', 'Journal of Intelligent and Robotic Systems', 'Light Scattering Reviews 8', 'New Advances in Computer Graphics', 'Theoretical Foundations of Computer Graphics and CAD', 'Advances in Computer Graphics', 'Discrete & Computational Geometry', 'Atmospheric and Oceanic Optics']","(""Algorithm"" OR ""Approximation algorithm"" OR ""Beam tracing"" OR ""Ray tracing "") AND (title: ""Computing caustic effects by backward beam tracing"")","1","['Computing caustic effects by backward beam tracing']","['The Visual Computer']","False","17:16:14"
"(""Accessibility"" OR ""Performance"" OR ""Sonification"" OR ""Usability"")","2403156","['Beyond a Visuocentric Way of a Visual Web Search Clustering Engine: The Sonification of WhatsOnWeb', 'An HCI Model for Usability of Sonification Applications', 'Sonification of Spatial Information: Audio-Tactile Exploration Strategies by Normal and Blind Subjects', 'SoniFight: Software to Provide Additional Sonification Cues to Video Games for Visually Impaired Players', 'Usability- and Accessibility-Focused Requirements Engineering', 'Using Sonification and Haptics to Represent Overlapping Spatial Objects: Effects on Accuracy', 'Mobile Interactive Image Sonification for the Blind', 'An embodied music cognition approach to multilevel interactive sonification', 'Evaluation of four models for the sonification of elite rowing', 'Design space exploration of hardware platforms for interactive low latency movement sonification', 'Interactive Sonification Markup Language (ISML) for Efficient Motion-Sound Mappings', 'Design and evaluation of the effectiveness of a sonification technique for real time heart-rate data', 'Constructing the Immersive Interactive Sonification Platform (iISoP)', 'Improving Control Room State Awareness through Complex Sonification Interfaces', 'Accessibility and Usability of User-centric Web Interaction with a Unified-Ubiquitous Name-based Directory Service', 'Advantages of melodic over rhythmic movement sonification in bimanual motor skill learning', 'Interactive sonification of synchronisation of motoric behaviour in social active listening to music with mobile devices', 'Haptic feedback combined with movement sonification using a friction sound improves task performance in a virtual throwing task', 'Between Mapping, Sonification and Composition: Responsive Audio Environments in Live Performance', 'Flood Tide: sonification as musical performance—an audience perspective']","['Computers Helping People with Special Needs', 'Task Models and Diagrams for Users Interface Design', 'Universal Access in Human-Computer Interaction. Intelligent and Ubiquitous Interaction Environments', 'The Computer Games Journal', 'Lecture Notes in Computer Science', 'Universal Access in Human-Computer Interaction. Design Methods, Tools, and Interaction Techniques for eInclusion', 'Computers Helping People with Special Needs', 'Journal on Multimodal User Interfaces', 'Journal on Multimodal User Interfaces', 'Journal on Multimodal User Interfaces', 'Human-Computer Interaction: Interaction Technologies', 'Journal on Multimodal User Interfaces', 'Distributed, Ambient, and Pervasive Interactions', 'Human Interface and the Management of Information. Information and Knowledge in Applications and Services', 'World Wide Web', 'Experimental Brain Research', 'Journal on Multimodal User Interfaces', 'Journal on Multimodal User Interfaces', 'Computer Music Modeling and Retrieval. Sense of Sounds', 'AI & SOCIETY']","(""Accessibility"" OR ""Performance"" OR ""Sonification"" OR ""Usability"") AND (title: ""Beyond a Visuocentric Way of a Visual Web Search Clustering Engine: The Sonification of WhatsOnWeb"")","1","['Beyond a Visuocentric Way of a Visual Web Search Clustering Engine: The Sonification of WhatsOnWeb']","['Computers Helping People with Special Needs']","False","17:17:07"
"(""Eval"" OR ""Java"" OR ""Java bytecode"" OR ""Message passing"")","269266","['Native versus Java Message Passing', 'Automated Detection of Non-termination and NullPointerExceptions for Java Bytecode', 'Termination Graphs for Java Bytecode', 'Design of scalable Java message-passing communications over InfiniBand', 'FastMPJ: a scalable and efficient Java message-passing library', 'F-MPJ: scalable Java message-passing communications on parallel systems', 'Compiling Multithreaded Java Bytecode for Distributed Execution', 'Design of efficient Java message-passing collectives on multi-core clusters', 'Java Bytecode Verification', 'Performance Modeling and Evaluation of Java Message-Passing Primitives on a Cluster', 'JOINT: An Object Oriented Message Passing Interface for Parallel Programming in Java', 'Towards portable message passing in Java: Binding MPI', 'MPJava: High-Performance Message Passing in Java Using Java.nio', 'Target Code Generation sing the Code Expansion Technique for Java Bytecode', 'Exploiting Java Bytecode Parallelism by Enhanced POC Folding Model', 'Static analysis of Java bytecode', 'jMoped: A Java Bytecode Checker Based on Moped', 'Java Bytecode Verification by Model Checking', 'MPJ: A Proposed Java Message Passing API and Environment for High Performance Computing', 'A Proposed Jini Infrastructure to Support a Java Message Passing Implementation']","['Recent Advances in Parallel Virtual Machine and Message Passing Interface', 'Formal Verification of Object-Oriented Software', 'Verification, Induction, Termination Analysis', 'The Journal of Supercomputing', 'Cluster Computing', 'The Journal of Supercomputing', 'Euro-Par 2000 Parallel Processing', 'The Journal of Supercomputing', 'Journal of Automated Reasoning', 'Recent Advances in Parallel Virtual Machine and Message Passing Interface', 'High-Performance Computing and Networking', 'Recent Advances in Parallel Virtual Machine and Message Passing Interface', 'Languages and Compilers for Parallel Computing', 'Parallel and Distributed Computing: Applications and Technologies', 'Euro-Par 2000 Parallel Processing', 'Wuhan University Journal of Natural Sciences', 'Tools and Algorithms for the Construction and Analysis of Systems', 'Computer Aided Verification', 'Parallel and Distributed Processing', 'Active Middleware Services']","(""Eval"" OR ""Java"" OR ""Java bytecode"" OR ""Message passing"") AND (title: ""Native versus Java Message Passing"")","1","['Native versus Java Message Passing']","['Recent Advances in Parallel Virtual Machine and Message Passing Interface']","False","17:17:51"
"(""Active pixel sensor"" OR ""CMOS"" OR ""Digimon"" OR ""Experiment"")","3204094","['A 64 × 64 CMOS Active Pixel Sensor Operative at a Very Low Illumination Level', 'CMOS Active Pixel Sensor Developments at the Rutherford Appleton Laboratory', 'Active Pixel Sensor Design: From Pixels to Systems', 'Pseudo 2-transistor active pixel sensor using an n-well/gate-tied p-channel metal oxide semiconductor field eeffect transistor-type photodetector with built-in transfer gate', 'Active Pixel Sensor Developments for Future ESA Space Science Missions', 'Active Pixel Sensor Multielectrode Array for High Spatiotemporal Resolution', 'A 160×120 Edge Detection Vision Chip for Neuromorphic Systems Using Logarithmic Active Pixel Sensor with Low Power Dissipation', 'Monolithic Active Pixel Sensors in a 130 nm Triple Well CMOS Technology', 'Layout techniques for radiation hardening of standard CMOS active pixel sensors', 'A new CMOS multimode digital pixel sensor dedicated to an implantable visual cortical stimulator', 'Design of a CMOS Image Sensor', 'Photoresponse Analysis and Pixel Shape Optimization for CMOS APS', 'Design and implementation of CMOS image sensor', 'CMOS Sensors for Optical Molecular Imaging', 'Wide dynamic range CMOS pixels with reduced dark current', 'CMOS photodetector systems for low-level light applications', 'Silicon Technologies and Integrated Photodetectors', '32 × 32 SOI CMOS image sensor with pinned photodiode on handle wafer', 'Design of a Fast CMOS APS Imager for High Speed Laser Detections', 'Silicon-on-Insulator-Based Single-Chip Image Sensors: Low-Voltage Scientific Imaging']","['Optical Review', 'Scientific Detectors for Astronomy', 'CMOS Imagers', 'Optical Review', 'Scientific detectors for astronomy 2005', 'Nanotechnology and Neuroscience: Nano-electronic, Photonic and Mechanical Neuronal Interfacing', 'Neural Information Processing', 'IFAE 2006', 'Analog Integrated Circuits and Signal Processing', 'Analog Integrated Circuits and Signal Processing', 'A Biologically Inspired CMOS Image Sensor', 'CMOS Imagers', 'Journal of Electronics', 'CMOS Biotechnology', 'Analog Integrated Circuits and Signal Processing', 'Journal of Materials Science: Materials in Electronics', 'Integrated Silicon Optoelectronics', 'Optical Review', 'SOC Design Methodologies', 'Experimental Astronomy']","(""Active pixel sensor"" OR ""CMOS"" OR ""Digimon"" OR ""Experiment"") AND (title: ""A 64 × 64 CMOS Active Pixel Sensor Operative at a Very Low Illumination Level"")","1","['A 64 × 64 CMOS Active Pixel Sensor Operative at a Very Low Illumination Level']","['Optical Review']","False","17:18:07"
"(""Interconnection"" OR ""Universality probability"")","107482","['On Potential Cognitive Abilities in the Machine Kingdom', 'Atomic Scale Interconnection Machines', 'The Upper Layers of Open Systems Interconnection', 'Erratum to The simple and strict interconnection between the observed resonances and dips in pp and\np\n¯\np\np\nscatteringscattering', 'fiber optic interconnection', 'fiber optic interconnection frame', 'systems interconnection environment', 'Interconnection Network', 'systems interconnection reference model']","['Minds and Machines', 'Advances in Atom and Single Molecule Machines', 'Lettere al Nuovo Cimento', 'Computer Science and Communications Dictionary', 'Computer Science and Communications Dictionary', 'Computer Science and Communications Dictionary', 'Encyclopedia of Parallel Computing', 'Computer Science and Communications Dictionary']","(""Interconnection"" OR ""Universality probability"") AND (title: ""On Potential Cognitive Abilities in the Machine Kingdom"")","1","['On Potential Cognitive Abilities in the Machine Kingdom']","['Minds and Machines']","False","17:18:24"
"(""Algorithm"" OR ""Android"" OR ""Kernel "" OR ""Max"")","2737683","['Kernel Modification APT Attack Detection in Android', 'An Android Kernel Extension to Save Energy Resources Without Impacting User Experience', 'A multi-view context-aware approach to Android malware detection and malicious code localization', 'A Kernel Space Solution for the Detection of Android Bootkit', 'Beyond Kernel-Level Integrity Measurement: Enabling Remote Attestation for the Android Platform', 'How to Use Oprofile to Improve an Algorithm for Skia in Android', 'Case Study: Static Security Analysis of the Android Goldfish Kernel', 'A Measurement Study of the Linux Kernel for Android Mobile Computer', 'Working with Android NDK and RenderScript', 'Computational intelligence anti-malware framework for android OS', 'Android malware detection method based on naive Bayes and permission correlation algorithm', 'Working with Android NDK and RenderScript', 'A code protection scheme by process memory relocation for android devices', 'Personal search system based on android using lifelog and machine learning', 'Android OS Stack Power Management Capabilities', 'Android-Based Testbed and Demonstration Environment for Cross-Layer Optimized Flow Mobility', 'Monitoring Real Android Malware', 'Bio-inspired Hybrid Intelligent Method for Detecting Android Malware', 'Efficient Runtime Monitoring with Metric Temporal Logic: A Case Study in the Android Operating System']","['Security in Computing and Communications', 'Mobile Web and Intelligent Information Systems', 'Empirical Software Engineering', 'ICT and Critical Infrastructure: Proceedings of the 48th Annual Convention of Computer Society of India- Vol I', 'Trust and Trustworthy Computing', 'Internet of Things', 'FM 2015: Formal Methods', 'Ubiquitous Computing and Multimedia Applications', 'Android Recipes', 'Vietnam Journal of Computer Science', 'Cluster Computing', 'Android Recipes', 'Multimedia Tools and Applications', 'Personal and Ubiquitous Computing', 'Advances in Internet, Data & Web Technologies', 'Testbeds and Research Infrastructure: Development of Networks and Communities', 'Runtime Verification', 'Knowledge, Information and Creativity Support Systems', 'FM 2014: Formal Methods']","(""Algorithm"" OR ""Android"" OR ""Kernel "" OR ""Max"") AND (title: ""Kernel Modification APT Attack Detection in Android"")","1","['Kernel Modification APT Attack Detection in Android']","['Security in Computing and Communications']","False","17:19:10"
"(""Fair queuing"" OR ""Fairness measure"" OR ""Formal verification"" OR ""Model checking"")","33992","['Fair Queuing in Active and Programmable Networks', 'fair queuing', 'Formal verification of speed-dependent asynchronous circuits using symbolic model checking of Branching Time Regular Temporal Logic', 'Formal Verification of ARP (Address Resolution Protocol) Through SMT-Based Model Checking - A Case Study -', 'A Practical Approach to the Formal Verification of SoC’s with Symbolic Model-Checking', 'Formal Verification for Interaction Protocol in Agent-Based E-Learning System Using Model Checking Toolkit - MCMAS', 'Integrated Formal Verification: Using Model Checking with Automated Abstraction, Invariant Generation, and Theorem Proving', 'Formal Verification of Complex Out-of-Order Pipelines by Combining Model-Checking and Theorem-Proving', 'Integrating proof-based and model-checking techniques for the formal verification of cryptographic protocols', 'Formal Verification of a Group Membership Protocol Using Model Checking', 'Formal Verification of P Systems with Active Membranes through Model Checking', 'Formal verification of a partial-order reduction technique for model checking', 'Automated formal verification of visual modeling languages by model checking', 'Formal Verification of a Railway Interlocking System using Model Checking', 'System Level Formal Verification via Model Checking Driven Simulation', 'Formal Verification of a Partial-Order Reduction Technique for Model Checking', 'Formal Verification of an Avionics Application using Abstraction and Symbolic Model Checking', 'An Efficient Fair Queuing Algorithm for Guaranteed Disk Bandwidth', 'Virtual Time Fair Queuing Algorithm for a Computational Grid', 'The Incremental Deployability of Core–Stateless Fair Queuing']","['Advanced Wired and Wireless Networks', 'Computer Science and Communications Dictionary', 'Computer Aided Verification', 'Integrated Formal Methods', 'System-on-Chip for Real-Time Applications', 'Software Engineering and Computer Systems', 'Theoretical and Practical Aspects of SPIN Model Checking', 'Computer Aided Verification', 'Computer Aided Verification', 'On the Move to Meaningful Internet Systems 2007: CoopIS, DOA, ODBASE, GADA, and IS', 'Membrane Computing', 'Tools and Algorithms for the Construction and Analysis of Systems', 'Software & Systems Modeling', 'Formal Aspects of Computing', 'Computer Aided Verification', 'Journal of Automated Reasoning', 'Towards System Safety', 'Euro-Par 2004 Parallel Processing', 'Distributed Computing and Networking', 'Networking — ICN 2001']","(""Fair queuing"" OR ""Fairness measure"" OR ""Formal verification"" OR ""Model checking"") AND (title: ""Fair Queuing in Active and Programmable Networks"")","1","['Fair Queuing in Active and Programmable Networks']","['Advanced Wired and Wireless Networks']","False","17:19:27"
"(""Algorithm"" OR ""Code generation "" OR ""Compiler"" OR ""Earliest deadline first scheduling"")","1440757","['A group priority earliest deadline first scheduling algorithm', 'Earliest-Deadline-First scheduling on nonpreemptive real-time threads for a continuous media server', 'Performance Evaluation of Resource Reservation Policies for Rate-Controlled Earliest-Deadline-First Scheduling in Multi-Service Packet Networks', 'On earliest deadline first scheduling for temporal consistency maintenance', 'A Method for Performance Analysis of Earliest-Deadline-First Scheduling Policy', 'Energy efficient fault-tolerant earliest deadline first scheduling for hard real-time systems', 'The Earliest Deadline First Scheduling with Active Buffer Management for Real-Time Traffic in the Internet', 'Earliest Deadline First Scheduling with Active Buffer Management for Real-Time Traffic in the Internet', 'Feedback Earliest Deadline First Exploiting Hardware Assisted Voltage Scaling', 'Multitasking', 'Language-Independent Schedulability Analysis of Real Time Programs', 'Fundamentals of Real-Time Scheduling (Extended Abstract)', 'Implementation of Hard Real-Time Embedded Control Systems', 'Load adaptive dynamic scheduling of tasks with hard deadlines useful for industrial applications', 'Real-Time Schedulability Tests for Preemptive Multitasking', 'Implementation of Hard Real-Time Embedded Control Systems', 'A Real Time Hardware Architecture', 'Dynamic priority scheduling of periodic and aperiodic tasks in hard real-time systems', 'LIVE: Learning and Inference for Virtual Network Embedding', 'The Non-preemptive Scheduling of Periodic Tasks upon Multiprocessors']","['Frontiers of Computer Science', 'High-Performance Computing and Networking', 'Telecommunication Systems', 'Real-Time Systems', 'The Journal of Supercomputing', 'Real-Time Systems', 'Networking — ICN 2001', 'Telecommunication Systems', 'Computer Engineering and Networking', 'Distributed Embedded Control Systems', 'Constructing Predictable Real Time Systems', 'Real Time Computing', 'Real-Time Systems In Mechatronic Applications', 'Computing', 'Real-Time Systems', 'Real-Time Systems', 'Constructing Predictable Real Time Systems', 'Real-Time Systems', 'Journal of Network and Systems Management', 'Real-Time Systems']","(""Algorithm"" OR ""Code generation "" OR ""Compiler"" OR ""Earliest deadline first scheduling"") AND (title: ""A group priority earliest deadline first scheduling algorithm"")","1","['A group priority earliest deadline first scheduling algorithm']","['Frontiers of Computer Science']","False","17:20:05"
"(""Approximation algorithm"" OR ""Coefficient"" OR ""Computability"" OR ""One-way function"")","1939982","['The One-Way Function Technique', 'On the security of Goldreich’s one-way function', 'Trapdoor One-Way Function', 'One-Way Function', 'One-Way Function', 'Trapdoor One-Way Function', 'In Search of a One-Way Function', 'A one way function based on ideal arithmetic in number fields', 'A one-way function based on norm form equations', 'Directed Acyclic Graphs, One-way Functions and Digital Signatures', 'A complete one-way function based on a finite rank free\nZ×Z\nZ\n-module', 'A Key Distribution System Based On Any One-Way Function', ""A framework for the design of one-way hash functions including cryptanalysis of Damgård's one-way function based on a cellular automaton"", 'An Infinitely-Often One-Way Function Based on an Average-Case Assumption', 'A one-way function from thermodynamics and applications to cryptography', 'Theory and Applications of Computability', 'Statistically-Hiding Quantum Bit Commitment from Approximable-Preimage-Size Quantum One-Way Function', 'Correlated Product Security from Any One-Way Function', 'On the Security of Goldreich’s One-Way Function', 'On intractability of the classUP']","['The Complexity Theory Companion', 'computational complexity', 'Encyclopedia of Cryptography and Security', 'Encyclopedia of Cryptography and Security', 'Encyclopedia of Cryptography and Security', 'Encyclopedia of Cryptography and Security', 'Open Problems in Communication and Computation', ""Advances in Cryptology — CRYPTO '97"", 'Periodica Mathematica Hungarica', 'Advances in Cryptology — CRYPTO ’94', 'Journal of Mathematical Sciences', 'Advances in Cryptology — EUROCRYPT ’89', ""Advances in Cryptology — ASIACRYPT '91"", 'Logic, Language, Information and Computation', 'Elemente der Mathematik', 'Theory of Quantum Computation, Communication, and Cryptography', 'Public Key Cryptography – PKC 2012', 'Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques', 'Mathematical systems theory']","(""Approximation algorithm"" OR ""Coefficient"" OR ""Computability"" OR ""One-way function"") AND (title: ""The One-Way Function Technique"")","1","['The One-Way Function Technique']","['The Complexity Theory Companion']","False","17:20:22"
