Title-Abstr-Key(Backhaul )  OR Title-Abstr-Key(Centralisation)  OR Title-Abstr-Key(Interference )  OR Title-Abstr-Key(Optimization problem) ,283,['Research on Big Data – A systematic mapping study', 'Systematic review of complications and outcomes of diabetic patients with burn trauma', 'A systematic literature review on electricity management systems', 'A systematic review of code generation proposals from state machine specifications', 'Systematic review and meta-analysis of complications and outcomes of obese patients with burns', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Defining corporate energy policy and strategy to achieve carbon emissions reduction targets via energy management in non-energy intensive multi-site manufacturing organisations', 'Exploring gamification to support manufacturing education on industry 4.0 as an enabler for innovation and sustainability', 'A Systematic Mapping Study of Software Reliability Modeling', 'A Computer-Aided Tool for the Simulation and Optimization of the Combined HDS–FCC Processes', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults', 'Engineering periodicals: Diversity and complexity', 'A systematic review of evaluation of variability management approaches in software product lines', '6: A SURVEY OF HABI PUBLICATIONS', 'Modular deployment using TRM and function analysis', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'European Psychiatric Association (EPA) guidance on quality assurance in mental healthcare', 'A systematic literature review of software visualization evaluation', 'Engineering periodicals: Diversity and complexity, part 2', 'Abstracts', 'The treatment of distant metastases in soft tissue sarcoma', 'Land information systems (electronic pages) as a part of IVHS', 'Current titles in marine geology, part II'],['Computer Standards & Interfaces', 'Burns', 'Renewable and Sustainable Energy Reviews', 'Information and Software Technology', 'Burns', 'Computer Methods and Programs in Biomedicine', 'Energy', 'Procedia Manufacturing', 'Information and Software Technology', 'Chemical Engineering Research and Design', 'Procedia Environmental Sciences', 'Managing Trade-Offs in Adaptable Software Architectures', 'Journal of the Academy of Nutrition and Dietetics', 'Serials Review', 'Information and Software Technology', 'Photochemistry, History and Commercial Applications of Hexaarylbiimidazoles', 'Technological Forecasting and Social Change', 'IFAC-PapersOnLine', 'European Psychiatry', 'Journal of Systems and Software', 'Serials Review', 'Journal of Cranio-Maxillofacial Surgery', 'Seminars in Radiation Oncology', 'Computers, Environment and Urban Systems', 'Marine Geology'],"Title-Abstr-Key(Backhaul )  OR Title-Abstr-Key(Centralisation)  OR Title-Abstr-Key(Interference )  OR Title-Abstr-Key(Optimization problem)  AND Title(""Research on Big Data – A systematic mapping study"")",1,['Research on Big Data – A systematic mapping study'],['Computer Standards & Interfaces'],False,16:41:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Intrusion detection system)  OR Title-Abstr-Key(Malware)  OR Title-Abstr-Key(Stock and flow) ,251,"['Systematic review of complications and outcomes of diabetic patients with burn trauma', 'Systematic review and meta-analysis of complications and outcomes of obese patients with burns', 'Editorial Board', 'Chapter 2: motion graphics in film and television: an overview', 'Engineering periodicals: Diversity and complexity', 'US government (depository items)', 'Canada', 'Combined air flow and thermal simulation of buildings', 'Expert systems and evolutionary computing for financial investing: A review', 'Engineering periodicals: Diversity and complexity, part 2', 'Abstracts', 'Chapter 33: Regulatory Approval', '“when tillage begins, other arts follow …” — A core list of agriculture serials', 'Managing Nitrogen on Dairy Farms: An Integrated Approach I. Model Description', 'Strategies for solving the air flow—Thermal problem in multiroom buildings', 'Fluid Milk Vitamin Fortification Compliance in New York State', 'Current titles in marine geology', 'Authentic standards for the reductive-cleavage method. The positional isomers of partially methylated and acetylated or benzoylated 1,4-anhydro-d-xylitol', 'Current titles in marine geology', 'POPULATION DYNAMICS AND ECOLOGICAL ENERGETICS OF A PULSED ZOOPLANKTON PREDATOR, THE CTENOPHORE MNEMIOPSIS LEIDYI', 'Current titles in marine geology', 'Chapter 1: Introduction and Microbalance Review', 'Analytical Applications of Chemiluminescence', ""6: A CRITICAL REVIEW OF THE SURVEYS OF SCIENTISTS' USE OF LIBRARIES"", 'Recent progress towards matching feed quality to the amino acid needs of ruminants']",['Burns', 'Burns', 'Computer-Aided Design', 'Motion Graphic Design (Second Edition)', 'Serials Review', 'Journal of Government Information', 'Journal of Government Information', 'Building and Environment', 'Expert Systems with Applications', 'Serials Review', 'Journal of Cranio-Maxillofacial Surgery', 'Clinical Trials (Second Edition)', 'Serials Review', 'Journal of Dairy Science', 'Building and Environment', 'Journal of Dairy Science', 'Marine Geology', 'Carbohydrate Research', 'Marine Geology', 'Estuarine Processes', 'Marine Geology', 'Methods and Phenomena', 'Advances in Clinical Chemistry', 'The Provision and Use of Library and Documentation Services', 'Animal Feed Science and Technology'],"Title-Abstr-Key(Intrusion detection system)  OR Title-Abstr-Key(Malware)  OR Title-Abstr-Key(Stock and flow)  AND Title(""Systematic review of complications and outcomes of diabetic patients with burn trauma"")",1,['Systematic review of complications and outcomes of diabetic patients with burn trauma'],['Burns'],False,16:42:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Correctness )  OR Title-Abstr-Key(Make)  OR Title-Abstr-Key(Makefile) ,0,[],[],Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Correctness )  OR Title-Abstr-Key(Make)  OR Title-Abstr-Key(Makefile) ,0,[],[],True,16:43:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Eisenstein's criterion)  OR Title-Abstr-Key(Energy level)  OR Title-Abstr-Key(Experiment)  OR Title-Abstr-Key(Load balancing ) ,352,['A systematic review of game technologies for pediatric patients', 'microRNA 125a Regulates MHC-I Expression on Esophageal Adenocarcinoma Cells, Associated With Suppression of Anti-tumor Immune Response and Poor Outcomes of Patients', 'A literature review of serials in administrative office systems and business education', 'Québec periodicals: An annotated bibliography of a distinctive North American minority literature', 'Fire load in residential buildings', 'Consistency of spatial database query results', 'Land information systems (electronic pages) as a part of IVHS', 'The role of GIS-based spatial analysis in strategic management in local government', '8: Main industrial processes using metal oxides as catalysts or support and future trends in heterogeneous catalysis', 'Abstracts', 'Managing Nitrogen on Dairy Farms: An Integrated Approach I. Model Description', 'Critiquing expert systems for planning and management', 'Contents', 'Numerical modelling of brick masonry panels subject to lateral loadings', 'AISF Annual Meeting abstracts (16/18 February 2005)', 'Chapter 1: Introduction and Microbalance Review', 'Cytokines and food intake: The relevance of the immune system to the student of ingestive behavior', 'Current titles in soil science', 'The parachute sail with hydrostatic beam: A new concept for solar sailing', 'My scientific life: 40 years at the College de France', 'NASA breakthrough propulsion physics program', '3 Coacervation-phase separation technology', 'Current titles in soil science', 'Microbial Interactions in Continuous Culture', 'Current titles in marine geology'],['Computers in Biology and Medicine', 'Gastroenterology', 'Serials Review', 'Serials Review', 'Building and Environment', 'Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems', 'Metal Oxides in Heterogeneous Catalysis', 'Journal of Cranio-Maxillofacial Surgery', 'Journal of Dairy Science', 'Computers, Environment and Urban Systems', 'Water Research', 'Computers & Structures', 'Digestive and Liver Disease', 'Methods and Phenomena', 'Neuroscience & Biobehavioral Reviews', 'Geoderma', 'Acta Astronautica', 'Neuroscience & Biobehavioral Reviews', 'Acta Astronautica', 'Advances in Pharmaceutical Sciences', 'Geoderma', 'Advances in Applied Microbiology', 'Marine Geology'],"Title-Abstr-Key(Eisenstein's criterion)  OR Title-Abstr-Key(Energy level)  OR Title-Abstr-Key(Experiment)  OR Title-Abstr-Key(Load balancing )  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],False,16:46:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Distributed computing)  OR Title-Abstr-Key(Game server)  OR Title-Abstr-Key(Programming paradigm)  OR Title-Abstr-Key(Provisioning) ,229,"['State of the art and challenges of security SLA for cloud computing', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'NASA breakthrough propulsion physics program', 'Land information systems (electronic pages) as a part of IVHS', 'Nursing Research Journals: An Annotated Guide, Part II', 'The operation was a success but the patient died: A critique of “the implementation and evaluation of a problem-solving training program for adolescents”', 'A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults', 'Consistency of spatial database query results', 'Semantic community Web portals', 'Canada', 'An evaluation case: The implementation and evaluation of a problem-solving training program for adolescents', 'Environmental assessment and evaluation research: Examples from mental health and substance abuse programs', 'The role of GIS-based spatial analysis in strategic management in local government', ""Inside EPA's Clean Air Report: 1990-. Bi-W. $425. Inside Washington Publishers, PO Box 7167. Ben Franklin Station, Washington, DC 20044. Eds.: Joe DiLeo, Julie Edelson, Charlie Mitchell, Victorial Schobel, Rick Weber. Issue examined: vol. 1, no. 12 (11 October 1990)"", 'Studies on nitrophenols. Part IV. The standard enthalpies of combustion and formation of 1,2-dihydroxybenzene, 1,2- and 1,4-nitrophenol', 'Scientific Programme – Invited Abstracts', 'An alternative evaluation approach for the problem-solving training program: A utilization-focused evaluation process', 'The Journal of American and Canadian Studies: 1988-. S-A. $9. The Journal of American and Canadian Studies, Sophia University Institute of American and Canadian Studies, 7-1 Kioicho, Chiyoda-ku, Tokyo 102, Japan. Ed.: Tadashi Kawata. Indexed: Amer. Hist. and Life, Hist. Abstr., Can. Magazine Index. LC 90-658503. ISSN 0914-8035. Issues examined: no. 3 (spring 1989); no. 4 (autumn 1989); no. 4 (autumn 1989); no. 5 (spring 1990)', 'The clinical impact of same-day antimicrobial susceptibility testing', 'Critiquing expert systems for planning and management', 'European Psychiatric Association (EPA) guidance on quality assurance in mental healthcare', 'Chapter 33: Regulatory Approval', 'Chapter 9: Design and Management of Research Facilities for Mice', '1,5-Diketones from 3,4-dihydropyranones: An application in the synthesis of (±)-α-herbertenol', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems']",['Computers & Electrical Engineering', 'Managing Trade-Offs in Adaptable Software Architectures', 'Acta Astronautica', 'Computers, Environment and Urban Systems', 'Serials Review', 'Evaluation and Program Planning', 'Journal of the Academy of Nutrition and Dietetics', 'Computers, Environment and Urban Systems', 'Computer Networks', 'Journal of Government Information', 'Evaluation and Program Planning', 'Evaluation and Program Planning', 'Computers, Environment and Urban Systems', 'Serials Review', 'Thermochimica Acta', 'European Journal of Cancer', 'Evaluation and Program Planning', 'Serials Review', 'Clinical Microbiology Newsletter', 'Computers, Environment and Urban Systems', 'European Psychiatry', 'Clinical Trials (Second Edition)', 'The Mouse in Biomedical Research (Second Edition)', 'Tetrahedron', 'Artificial Intelligence in Medicine'],"Title-Abstr-Key(Distributed computing)  OR Title-Abstr-Key(Game server)  OR Title-Abstr-Key(Programming paradigm)  OR Title-Abstr-Key(Provisioning)  AND Title(""State of the art and challenges of security SLA for cloud computing"")",1,['State of the art and challenges of security SLA for cloud computing'],['Computers & Electrical Engineering'],False,16:47:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(NIST Enterprise Architecture Model)  OR Title-Abstr-Key(Speaker recognition) ,49,"[""‘That's just what I do’: Placing emotion in academic activism"", 'The nomadic engram: overtraining eliminates the impairment of discriminative avoidance behavior produced by limbic thalamic lesions', 'Library periodicals in review', 'The role of personality variables in second language behavior', 'Automated discourse generation using discourse structure relations', 'On the information processing paradigm in the study of human language', ""Preclinical evaluation of 99mtechnetium-labeled DD-3B6/22 FAB' for thrombus detection"", 'Paul Dudley White: To know him better', 'Chapter 1: History', 'Canada', 'INVITED ABSTRACTS', 'Maurice Stacey', 'Full Issue PDF', 'Abstracts', 'Abstracts', 'Preparation of a curriculum vitae', 'Scientific Programme – Invited Abstracts', 'ISNI 2006 Abstracts', 'The history of ultrasound in gynecology 1950–1980', 'Chapter III: Adrenochrome and Some of Its Derivatives', 'SIOG 2015 – Abstract Submission – Posters', 'II: STRESSORS AND CONDITIONING AGENTS', 'Ecology of Coarse Woody Debris in Temperate Ecosystems', 'Current management of civilian thoracic trauma', 'Electrical control of facial pain']",['Emotion, Space and Society', 'Behavioural Brain Research', 'Serials Review', 'Comprehensive Psychiatry', 'Artificial Intelligence', 'Journal of Pragmatics', 'Thrombosis Research', 'The American Journal of Cardiology', 'Nonhuman Primates in Biomedical Research', 'Government Publications Review', 'Journal of Thoracic Oncology', 'Advances in Carbohydrate Chemistry and Biochemistry', 'JACC: Cardiovascular Imaging', 'European Psychiatry', 'Journal of Thoracic Oncology', 'Journal of Professional Nursing', 'European Journal of Cancer', 'Journal of Neuroimmunology', 'Ultrasound in Medicine & Biology', 'The Hallucinogens', 'Journal of Geriatric Oncology', 'Stress in Health and Disease', 'Advances in Ecological Research', 'The American Journal of Surgery', 'The American Journal of Surgery'],"Title-Abstr-Key(NIST Enterprise Architecture Model)  OR Title-Abstr-Key(Speaker recognition)  AND Title(""‘That's just what I do’: Placing emotion in academic activism"")",0,[],[],True,16:49:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Distortion)  OR Title-Abstr-Key(Failure rate)  OR Title-Abstr-Key(Illumination )  OR Title-Abstr-Key(Kalman filter) ,59,"['Synthesis and antitumor activity of 2′-bromo- and 2′-chloro-3′-acetoxy-3′-deaminodaunorubicin analogs', 'Selective silylation of 6-deoxyglycals', 'Selective acylation of 6-deoxyglycals', 'Preparation of acetylated derivatives of modified chito-oligosaccharides by the depolymerisation of partially N-acetylated chitosan with nitrous acid', 'Structure of the group-specific polysaccharide of group E Streptococcus', 'A re-examination of the isolectin components of the fucose-binding proteins of Lotus tetragonolobus', 'Investigations of an industrial β-d-glucanase from Trichoderma harzianum', 'Process Fault Detection and Diagnosis: Past, Present and Future', 'Allylic rearrangement of 6-deoxyglycals having practical utility', 'Synthesis of the methyl and 1-octyl glycosides of the P-antigen tetrasaccharide (globotetraose)', 'Alkaline degradation of alginates to carboxylic acids', 'Telluramine derivatives as selective oxidants', 'The crystal structure of isobutyl 2,3,4-tri-O-acetyl-1-thio-β-d-xylopyranoside', ""Improved optical resolution of R★,R★ N.N'-dimethyl 1,2-diphenyl ethylene diamine"", 'Resolution and determination of enantiomeric excesses of chiral aldehydes via chiral imidazolidines', ""Stereospecific synthesis of (−)-carbocyclic 2',3'-Dideoxythymidine, a potential anti-aids agent."", 'Structure of the capsular polysaccharide of Klebsiella serotype K79', 'Novel oligosaccharides obtained by bacteriophage degradation of the polysaccharide from Klebsiella serotype K26', 'Synthesis of 19-hydroxy LTB4, an assumed metabolite of leukotriene B4', 'Erratum', 'Recursive Identification of Time-varying Systems via Incremental Estimation', 'Robust constrained model predictive control using linear matrix inequalities', 'Flatness based control of a nonlinear chemical reactor model', 'A priori stability conditions for an arbitrary number of unstable poles', 'Robustness bounds for systems with parametric uncertainty']",['Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'IFAC Proceedings Volumes', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Tetrahedron Letters', 'Carbohydrate Research', 'Tetrahedron Letters', 'Tetrahedron Letters', 'Tetrahedron Letters', 'Carbohydrate Research', 'Carbohydrate Research', 'Tetrahedron Letters', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica', 'Automatica'],"Title-Abstr-Key(Distortion)  OR Title-Abstr-Key(Failure rate)  OR Title-Abstr-Key(Illumination )  OR Title-Abstr-Key(Kalman filter)  AND Title(""Synthesis and antitumor activity of 2′-bromo- and 2′-chloro-3′-acetoxy-3′-deaminodaunorubicin analogs"")",16,['Synthesis and antitumor activity of 2′-bromo- and 2′-chloro-3′-acetoxy-3′-deaminodaunorubicin analogs', 'Preparation of acetylated derivatives of modified chito-oligosaccharides by the depolymerisation of partially N-acetylated chitosan with nitrous acid', 'Selective silylation of 6-deoxyglycals', 'Structure of the group-specific polysaccharide of group E Streptococcus', 'A re-examination of the isolectin components of the fucose-binding proteins of Lotus tetragonolobus', 'Investigations of an industrial β-d-glucanase from Trichoderma harzianum', 'Selective acylation of 6-deoxyglycals', 'Allylic rearrangement of 6-deoxyglycals having practical utility', 'Synthesis of the methyl and 1-octyl glycosides of the P-antigen tetrasaccharide (globotetraose)', 'Alkaline degradation of alginates to carboxylic acids', 'Structure of the capsular polysaccharide of Klebsiella serotype K79', 'Novel oligosaccharides obtained by bacteriophage degradation of the polysaccharide from Klebsiella serotype K26', 'The crystal structure of isobutyl 2,3,4-tri-O-acetyl-1-thio-β-d-xylopyranoside', 'Trifluoroacetylation of carbohydrates for g.l.c., using N-methylbis(trifluoroacetamide)', 'Synthese eines N-acetylneuraminsäure-haltigen syntheseblocks. Kupplung zum N-acetylneuraminsäuretetrasaccharid mit trimethylsilyltriflat', 'Synthesis, crystal structure, and conformation of 1(S)-acetoxy-3-[6(R)-O-benzyl-1,2:3,4-di-O-isopropylidene-α-d-galactopyranos-6-yl]-1-(methyl 2,3,4-tri-O-benzyl-6-deoxy-β-d-galactopyranosid-6-yl)propyne'],['Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research', 'Carbohydrate Research'],False,16:51:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Baseline )  OR Title-Abstr-Key(Codec)  OR Title-Abstr-Key(Coefficient)  OR Title-Abstr-Key(Computation) ,331,['State of the art and challenges of security SLA for cloud computing', 'Research on Big Data – A systematic mapping study', 'A systematic literature review on electricity management systems', 'A systematic review of code generation proposals from state machine specifications', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'microRNA 125a Regulates MHC-I Expression on Esophageal Adenocarcinoma Cells, Associated With Suppression of Anti-tumor Immune Response and Poor Outcomes of Patients', 'Modeling and Rendering of Real-time Large-scale Granular Flow Scene on GPU', 'A Systematic Mapping Study of Software Reliability Modeling', 'Engineering periodicals: Diversity and complexity', 'Expert systems and evolutionary computing for financial investing: A review', 'A systematic review of evaluation of variability management approaches in software product lines', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Computational strategies for tire modeling and analysis', 'Exploring the educational potential of robotics in schools: A systematic review', 'Engineering periodicals: Diversity and complexity, part 2', 'Guide for Authors', 'Consistency of spatial database query results', 'Current titles in soil science', 'Abstracts', 'Land information systems (electronic pages) as a part of IVHS', 'The role of GIS-based spatial analysis in strategic management in local government', 'CHAPTER 4: Mathematical Periodicals and Abstracts', 'Chronoastrobiology: proposal, nine conferences, heliogeomagnetics, transyears, near-weeks, near-decades, phylogenetic and ontogenetic memories', 'Synthesis of hexahydroindol-6-ones by reaction of 2-methylthiopyrrolinium salts with Nazarov reagents'],['Computers & Electrical Engineering', 'Computer Standards & Interfaces', 'Renewable and Sustainable Energy Reviews', 'Information and Software Technology', 'Computer Methods and Programs in Biomedicine', 'Gastroenterology', 'Procedia Environmental Sciences', 'Information and Software Technology', 'Serials Review', 'Expert Systems with Applications', 'Information and Software Technology', 'Managing Trade-Offs in Adaptable Software Architectures', 'IFAC-PapersOnLine', 'Computers & Structures', 'Computers & Education', 'Serials Review', 'Journal of Pharmaceutical and Biomedical Analysis', 'Computers, Environment and Urban Systems', 'Geoderma', 'Journal of Cranio-Maxillofacial Surgery', 'Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems', 'How to Find Out in Mathematics (Second Revised Edition)', 'Biomedicine & Pharmacotherapy', 'Tetrahedron Letters'],"Title-Abstr-Key(Baseline )  OR Title-Abstr-Key(Codec)  OR Title-Abstr-Key(Coefficient)  OR Title-Abstr-Key(Computation)  AND Title(""State of the art and challenges of security SLA for cloud computing"")",1,['State of the art and challenges of security SLA for cloud computing'],['Computers & Electrical Engineering'],False,16:52:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Dublin Core)  OR Title-Abstr-Key(Online and offline)  OR Title-Abstr-Key(Requirement) ,1036,['A systematic review of game technologies for pediatric patients', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'State of the art and challenges of security SLA for cloud computing', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'Patient-Reported Mobility: A Systematic Review', 'Instructions to Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'JACC Instructions for Authors'],['Computers in Biology and Medicine', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Computers & Electrical Engineering', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Archives of Physical Medicine and Rehabilitation', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology'],"Title-Abstr-Key(Dublin Core)  OR Title-Abstr-Key(Online and offline)  OR Title-Abstr-Key(Requirement)  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],False,16:53:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title-Abstr-Key(Interval scheduling)  OR Title-Abstr-Key(Network congestion) ,17,['Land information systems (electronic pages) as a part of IVHS', 'Canada', 'Critiquing expert systems for planning and management', 'Abstracts', 'Implementation and management effectiveness in adoption of GIS technology in local governments', 'U.S. Government (Depository items)', '10: How to use the monographs', 'CHAPTER 10: Cultural Practices in Disease Control', 'Mechanisms Involved in Natural and Experimental Neuropathogenicity of Influenza Viruses: Evidence and Speculation', 'CHAPTER 1: Leishmania', 'The biochemistry of aging', 'Copyright', 'VI: THEORIES', 'Abstracts of Papers Submitted to the American Association for the Study of Liver Diseases', 'Dictionary', '26: CHLORINE, BROMINE, IODINE AND ASTATINE', '26: CHLORINE, BROMINE, IODINE AND ASTATINE'],['Computers, Environment and Urban Systems', 'Journal of Government Information', 'Computers, Environment and Urban Systems', 'Journal of Cranio-Maxillofacial Surgery', 'Computers, Environment and Urban Systems', 'Journal of Government Information', 'Principles and Practice of Phytotherapy (Second Edition)', 'Plant Pathology', 'Advances in Virus Research', 'Parasitic Protozoa (Second Edition)', 'Advances in Clinical Chemistry', 'Advances in Physiology, Biochemistry, and Function', 'Stress in Health and Disease', 'Gastroenterology', 'Dictionary of Nutrition and Food Technology (Fifth Edition)', 'Comprehensive Inorganic Chemistry', 'The Chemistry of Chlorine, Bromine, Iodine and Astatine'],"Title-Abstr-Key(Interval scheduling)  OR Title-Abstr-Key(Network congestion)  AND Title(""Land information systems (electronic pages) as a part of IVHS"")",3,['Land information systems (electronic pages) as a part of IVHS', 'Critiquing expert systems for planning and management', 'Implementation and management effectiveness in adoption of GIS technology in local governments'],['Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems', 'Computers, Environment and Urban Systems'],False,16:56:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
