Title-Abstr-Key(Computer performance)  OR Title-Abstr-Key(Context awareness)  OR Title-Abstr-Key(Digital photography)  OR Title-Abstr-Key(Mobile device) ,102,"['A systematic review of game technologies for pediatric patients', 'Research on Big Data – A systematic mapping study', 'A systematic literature review on electricity management systems', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'A Narrative Review of Social Media and Game-Based Nutrition Interventions Targeted at Young Adults', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'A systematic review of evaluation of variability management approaches in software product lines', 'A systematic literature review of software visualization evaluation', 'Abstracts', 'Computer graphics: A keyword-indexed bibliography for the years 1976, 1977, and 1978', 'Processes and outcomes of evidence-based practice', 'Computer-based patient record systems', 'Current titles in engineering geology, 2', 'Current titles in soil science', 'Auditing and Assessing Air Quality in Concentrated Feeding Operations', '8: Main industrial processes using metal oxides as catalysts or support and future trends in heterogeneous catalysis', 'Current Titles in Engineering Geology', 'Chapter 9: Design and Management of Research Facilities for Mice', 'XI National Congress of Digestive Diseases, Italian Federation of Digestive Diseases, Genoa, 12-16 March 2005', 'Current titles in engineering geology', 'Cardiovascular nuclear medicine: An overview', 'Palladium and platinum', 'High Performance Liquid Chromatography', 'Staffing and equipping emergency medical services systems: Rapid identification and treatment of acute myocardial infarction', 'Subject index']","['Computers in Biology and Medicine', 'Computer Standards & Interfaces', 'Renewable and Sustainable Energy Reviews', 'Computer Methods and Programs in Biomedicine', 'Journal of the Academy of Nutrition and Dietetics', 'Managing Trade-Offs in Adaptable Software Architectures', 'Information and Software Technology', 'Journal of Systems and Software', 'Journal of Cranio-Maxillofacial Surgery', 'Computer Graphics and Image Processing', 'Seminars in Oncology Nursing', 'Seminars in Oncology Nursing', 'Engineering Geology', 'Geoderma', 'The Professional Animal Scientist', 'Metal Oxides in Heterogeneous Catalysis', 'Engineering Geology', 'The Mouse in Biomedical Research (Second Edition)', 'Digestive and Liver Disease', 'Engineering Geology', 'Seminars in Nuclear Medicine', 'Coordination Chemistry Reviews', 'Physical Methods in Modern Chemical Analysis', 'The American Journal of Emergency Medicine', 'Journal of the American College of Cardiology']","Title-Abstr-Key(Computer performance)  OR Title-Abstr-Key(Context awareness)  OR Title-Abstr-Key(Digital photography)  OR Title-Abstr-Key(Mobile device)  AND Title(""A systematic review of game technologies for pediatric patients"")",1,['A systematic review of game technologies for pediatric patients'],['Computers in Biology and Medicine'],True,00:36:03
Title-Abstr-Key(Deep learning)  OR Title-Abstr-Key(Immunofluorescence assay)  OR Title-Abstr-Key(Machine learning)  OR Title-Abstr-Key(Neoplasms) ,77,"['Some neoplasms and some hamartomatous syndromes: genetic considerations', '10 Myeloproliferative neoplasms Ph- negative', 'Topical Janus Kinase Inhibitors: A Review of Applications in Dermatology', 'Chapter 9C: Molecular pathogenesis of biliary tract cancer', 'Abstracts', 'Accuracy of MR imaging in the work-up of suspicious breast lesions: A diagnostic meta-analysis', 'A multipurpose model of radiology appropriateness criteria', 'XI National Congress of Digestive Diseases, Italian Federation of Digestive Diseases, Genoa, 12-16 March 2005', 'Elution of cell-bound anti-prostatic epithelial antibodies after multiple cryotherapy of carcinoma of the prostate', '5 Amidines and Guanidines in Medicinal Chemistry', 'Right ventricular function in adult cardiovascular disease', '6 Recent Progress in the Medicinal Chemistry of 2,4-Diaminopyrimidines', 'Chapter 7 Reconstruction of cortical circuitry', 'Nutrition and cancer', 'Introduction: The History of Neurotology and Skull Base Surgery', 'INVITED ABSTRACTS', 'Synovial osteochondromatosis of the temporomandibular joint: An historical review with presentation of 3 cases', 'Comparative Aspects of Mammary Tumors', 'Nutritional status of the elderly', 'The pentose pathway: A random harvest: Impediments which oppose acceptance of the classical (F-type) pentose cycle for liver, some neoplasms and photosynthetic tissue. The case for the L-type pentose pathway', 'Calcium Channels in the Neuromuscular Junction', 'Aspects of Disorders of the Kynurenine Pathway of Tryptophan Metabolism in Man', 'RETRACTED: Carrageenan: A natural seaweed polysaccharide and its applications', 'Current papers in oral biology', 'Scientific Programme – Invited Abstracts']","['International Journal of Oral and Maxillofacial Surgery', 'European Journal of Cancer Supplements', 'Journal of the American Academy of Dermatology', ""Blumgart's Surgery of the Liver, Biliary Tract and Pancreas, 2-Volume Set (Sixth Edition)"", 'Journal of Cranio-Maxillofacial Surgery', 'Academic Radiology', 'Academic Radiology', 'Digestive and Liver Disease', 'Cryobiology', 'Progress in Medicinal Chemistry', 'Progress in Cardiovascular Diseases', 'Progress in Medicinal Chemistry', 'Progress in Brain Research', 'The American Journal of Medicine', 'Neurotology (Second Edition)', 'Journal of Thoracic Oncology', 'Journal of Cranio-Maxillofacial Surgery', 'Advances in Cancer Research', 'The American Journal of Medicine', 'International Journal of Biochemistry', 'International Review of Cytology', 'Advances in Clinical Chemistry', 'Carbohydrate Polymers', 'Archives of Oral Biology', 'European Journal of Cancer']","Title-Abstr-Key(Deep learning)  OR Title-Abstr-Key(Immunofluorescence assay)  OR Title-Abstr-Key(Machine learning)  OR Title-Abstr-Key(Neoplasms)  AND Title(""Some neoplasms and some hamartomatous syndromes: genetic considerations"")",1,['Some neoplasms and some hamartomatous syndromes: genetic considerations'],['International Journal of Oral and Maxillofacial Surgery'],True,00:36:56
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Cluster analysis)  OR Title-Abstr-Key(Document)  OR Title-Abstr-Key(Hierarchical clustering) ,111,"['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Research on Big Data – A systematic mapping study', 'Defining corporate energy policy and strategy to achieve carbon emissions reduction targets via energy management in non-energy intensive multi-site manufacturing organisations', 'microRNA 125a Regulates MHC-I Expression on Esophageal Adenocarcinoma Cells, Associated With Suppression of Anti-tumor Immune Response and Poor Outcomes of Patients', 'Chapter 9C: Molecular pathogenesis of biliary tract cancer', 'Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—I. Free vibration analysis', 'European Psychiatric Association (EPA) guidance on quality assurance in mental healthcare', 'Linear vibration analysis of laminated rectangular plates using the hierarchical finite element method—II. Forced vibration analysis', 'Calculating derivatives in statistical tolerance analysis', 'A systematic literature review of software visualization evaluation', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'A systematic review of evaluation of variability management approaches in software product lines', 'Magnetic Resonance Imaging of Intracranial Tumors: Tissue Characterization by Means of Texture Analysis', 'Food Matters: Changing Dimensions of Science and Practice in the Nutrition Profession', 'Reverse engineering of geometric models—an introduction', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'Static polyhedron simplification using error measurements', 'Surface reconstruction: from points to splines', 'Current research in the conceptual design of mechanical products', 'Three-dimensional object reconstruction from two-dimensional images', 'Calendar', 'Special issue: Reverse engineering of geometric models', 'High-level cad model acquisition from range images', 'Segmentation of a wrap-around model using an active contour', 'Discussion of the paper by J.J. Ibáñez et al.']","['Computer Methods and Programs in Biomedicine', 'Computer Standards & Interfaces', 'Energy', 'Gastroenterology', ""Blumgart's Surgery of the Liver, Biliary Tract and Pancreas, 2-Volume Set (Sixth Edition)"", 'Computers & Structures', 'European Psychiatry', 'Computers & Structures', 'Computer-Aided Design', 'Journal of Systems and Software', 'Computer-Aided Design', 'Information and Software Technology', 'Zeitschrift für Medizinische Physik', 'Journal of Nutrition Education', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Geoderma']","Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Cluster analysis)  OR Title-Abstr-Key(Document)  OR Title-Abstr-Key(Hierarchical clustering)  AND Title(""Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review"")",1,['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review'],['Computer Methods and Programs in Biomedicine'],True,00:38:03
Title-Abstr-Key(Lexicon)  OR Title-Abstr-Key(Machine translation) ,264,"['A systematic review of code generation proposals from state machine specifications', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'A systematic literature review on electricity management systems', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'HIRMA: Hypertextual information retrieval system managed by ARIOSTO', 'Chapter 2: motion graphics in film and television: an overview', 'My scientific life: 40 years at the College de France', 'Engineering periodicals: Diversity and complexity', 'Serials in strategic planning and reorganization', 'Engineering periodicals: Diversity and complexity, part 2', 'Part orientation and build cost determination in layered manufacturing', 'A multipurpose model of radiology appropriateness criteria', 'US government (depository items)', 'High-level cad model acquisition from range images', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems', 'Static polyhedron simplification using error measurements', 'Fracture toughness testing of core-based specimens by acoustic emission', 'Land information systems (electronic pages) as a part of IVHS', 'Chapter 33: Regulatory Approval', 'Semantic community Web portals', 'Reference serials', 'Current Titles in Engineering Geology', 'Computer-based patient record systems', '8: Main industrial processes using metal oxides as catalysts or support and future trends in heterogeneous catalysis', 'A computerised inventory for water resources models']","['Information and Software Technology', 'Computer-Aided Design', 'Renewable and Sustainable Energy Reviews', 'IFAC-PapersOnLine', 'Data & Knowledge Engineering', 'Motion Graphic Design (Second Edition)', 'Neuroscience & Biobehavioral Reviews', 'Serials Review', 'Serials Review', 'Serials Review', 'Computer-Aided Design', 'Academic Radiology', 'Journal of Government Information', 'Computer-Aided Design', 'Artificial Intelligence in Medicine', 'Computer-Aided Design', 'International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts', 'Computers, Environment and Urban Systems', 'Clinical Trials (Second Edition)', 'Computer Networks', 'Serials Review', 'Engineering Geology', 'Seminars in Oncology Nursing', 'Metal Oxides in Heterogeneous Catalysis', 'Environmental Software']","Title-Abstr-Key(Lexicon)  OR Title-Abstr-Key(Machine translation)  AND Title(""A systematic review of code generation proposals from state machine specifications"")",1,['A systematic review of code generation proposals from state machine specifications'],['Information and Software Technology'],True,00:38:54
Title-Abstr-Key(Penetration test)  OR Title-Abstr-Key(Polarimetry) ,4,"['RETRACTED: Carrageenan: A natural seaweed polysaccharide and its applications', '2: Descending syntheses of monosaccharides', 'Chapter 1 Experimental Methods for the Study of Slow Reactions', 'Chapter 19: Trihydric Alcohols and their Oxidation Products (continued) Dihydroxycarboxylic Acids and Trihydroxycarboxylic Acids and Related Compounds']","['Carbohydrate Polymers', 'Monosaccharide Sugars', 'Comprehensive Chemical Kinetics', ""Rodd's Chemistry of Carbon Compounds (Second Edition)""]","Title-Abstr-Key(Penetration test)  OR Title-Abstr-Key(Polarimetry)  AND Title(""RETRACTED: Carrageenan: A natural seaweed polysaccharide and its applications"")",1,['RETRACTED: Carrageenan: A natural seaweed polysaccharide and its applications'],['Carbohydrate Polymers'],True,00:39:42
Title-Abstr-Key(Calculus of variations)  OR Title-Abstr-Key(Outsourcing)  OR Title-Abstr-Key(Simulation)  OR Title-Abstr-Key(Social inequality) ,53,"[""‘That's just what I do’: Placing emotion in academic activism"", 'US government (depository items)', 'Robust constrained model predictive control using linear matrix inequalities', 'Toward a spatial perspective on niche development: The case of Bus Rapid Transit', 'Combined air flow and thermal simulation of buildings', 'Local publications', 'Scheduling in the precast concrete industry using the simulation modelling approach', 'Strategies for solving the air flow—Thermal problem in multiroom buildings', 'Identification of multivariable industrial processes, for simulation, diagnosis and control: By Y. Zhu and T. Backx. Springer-Verlag, London (1993). ISBN 0-387-19835-0/3-540-19835-0', 'Abstracts and Reviews: Contents', 'Part orientation and build cost determination in layered manufacturing', 'Automatic identification of non-intersecting machining features from 2D CAD input', 'Calculating derivatives in statistical tolerance analysis', 'Design-led component selection', 'DeWall: A fast divide and conquer Delaunay triangulation algorithm in Ed', 'On user-defined features', 'Calendar07', 'Current research in the conceptual design of mechanical products', 'Flatness based control of a nonlinear chemical reactor model', 'Induced L2 norm model reduction of polytopic uncertain linear systems', 'ANTICOAGULANTS IN CORONARY HEART DISEASE—RETROSPECT AND PROSPECT', 'Biographical notes on contributors to this issue', 'Locally optimal adaptive control without persistent excitation', 'Indirect field-oriented control of induction motors is robustly globally stable', 'Robust stability under mixed time-varying, time-invariant and parametric uncertainty']","['Emotion, Space and Society', 'Journal of Government Information', 'Automatica', 'Environmental Innovation and Societal Transitions', 'Building and Environment', 'Journal of Government Information', 'Building and Environment', 'Building and Environment', 'Automatica', 'Insurance: Mathematics and Economics', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Automatica', 'Automatica', 'The Lancet', 'Automatica', 'Automatica', 'Automatica', 'Automatica']","Title-Abstr-Key(Calculus of variations)  OR Title-Abstr-Key(Outsourcing)  OR Title-Abstr-Key(Simulation)  OR Title-Abstr-Key(Social inequality)  AND Title(""‘That's just what I do’: Placing emotion in academic activism"")",0,[],[],True,00:40:27
Title-Abstr-Key(Concept map)  OR Title-Abstr-Key(E-commerce)  OR Title-Abstr-Key(Information extraction)  OR Title-Abstr-Key(Map) ,522,"['Research on Big Data – A systematic mapping study', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'A systematic review of code generation proposals from state machine specifications', 'A Systematic Mapping Study of Software Reliability Modeling', 'Loess studies in central United States: evolution of concepts', 'Québec periodicals: An annotated bibliography of a distinctive North American minority literature', 'Chapter 11: Managing Trade-offs in Self-Adaptive Software Architectures: A Systematic Mapping Study', 'Chapter 2: motion graphics in film and television: an overview', 'Wildlife, natural resources, and environmental protection serials published by the U.S. Government and the Council of Europe', 'Toward a spatial perspective on niche development: The case of Bus Rapid Transit', 'A systematic literature review of software visualization evaluation', 'Modular deployment using TRM and function analysis', 'Canada', 'US government (depository items)', 'Segmentation of a wrap-around model using an active contour', 'Science Citation Index Expanded: The Effect of Journal Editorial Policies', 'Effects of posture and respiration on body surface electrocardiogram', 'Some neoplasms and some hamartomatous syndromes: genetic considerations', 'Semantic community Web portals', 'Current titles in marine geology', 'Engineering periodicals: Diversity and complexity', 'Current titles in marine geology', 'Current titles in soil science', 'Current titles in soil science', 'Hyper-interspersed nano/MEMS-architecture design for new concepts in miniature robotics for space exploration']","['Computer Standards & Interfaces', 'Computer Methods and Programs in Biomedicine', 'Information and Software Technology', 'Information and Software Technology', 'Engineering Geology', 'Serials Review', 'Managing Trade-Offs in Adaptable Software Architectures', 'Motion Graphic Design (Second Edition)', 'Serials Review', 'Environmental Innovation and Societal Transitions', 'Journal of Systems and Software', 'Technological Forecasting and Social Change', 'Journal of Government Information', 'Journal of Government Information', 'Computer-Aided Design', 'The Journal of Academic Librarianship', 'The American Journal of Cardiology', 'International Journal of Oral and Maxillofacial Surgery', 'Computer Networks', 'Marine Geology', 'Serials Review', 'Marine Geology', 'Geoderma', 'Geoderma', 'Acta Astronautica']","Title-Abstr-Key(Concept map)  OR Title-Abstr-Key(E-commerce)  OR Title-Abstr-Key(Information extraction)  OR Title-Abstr-Key(Map)  AND Title(""Research on Big Data – A systematic mapping study"")",1,['Research on Big Data – A systematic mapping study'],['Computer Standards & Interfaces'],True,00:41:46
Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Closed-world assumption)  OR Title-Abstr-Key(Computer vision)  OR Title-Abstr-Key(Cuckoo search) ,0,[],[],Title-Abstr-Key(Algorithm)  OR Title-Abstr-Key(Closed-world assumption)  OR Title-Abstr-Key(Computer vision)  OR Title-Abstr-Key(Cuckoo search) ,0,[],[],True,00:42:36
Title-Abstr-Key(Anisotropic diffusion)  OR Title-Abstr-Key(Nonlinear system)  OR Title-Abstr-Key(Numerical analysis)  OR Title-Abstr-Key(Numerical method) ,735,"['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'Instructions to Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'JACC Instructions for Authors', 'Instructions to Authors', 'JACC Instructions for Authors']","['Computer Methods and Programs in Biomedicine', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Journal of the American College of Cardiology', 'Annals of Diagnostic Pathology', 'Journal of the American College of Cardiology']","Title-Abstr-Key(Anisotropic diffusion)  OR Title-Abstr-Key(Nonlinear system)  OR Title-Abstr-Key(Numerical analysis)  OR Title-Abstr-Key(Numerical method)  AND Title(""Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review"")",1,['Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review'],['Computer Methods and Programs in Biomedicine'],True,00:44:54
Title-Abstr-Key(Content-based image retrieval)  OR Title-Abstr-Key(Image retrieval)  OR Title-Abstr-Key(Informatics) ,46,"['Three-dimensional object reconstruction from two-dimensional images', 'High-level cad model acquisition from range images', 'A systematic literature review on electricity management systems', 'Diseases diagnosis using fuzzy logic methods: A systematic and meta-analysis review', 'Exploring gamification to support manufacturing education on industry 4.0 as an enabler for innovation and sustainability', 'Defining corporate energy policy and strategy to achieve carbon emissions reduction targets via energy management in non-energy intensive multi-site manufacturing organisations', 'Computer-based patient record systems', 'Engineering periodicals: Diversity and complexity', 'Nursing Research Journals: An Annotated Guide, Part II', 'Editorial Board', 'A systematic review of evaluation of variability management approaches in software product lines', 'Canada', 'Modeling, analysis and control of Discrete Event Systems: a Petri net perspective', 'Application of artificial intelligence in clinical microbiology', 'Reverse engineering of geometric models—an introduction', 'Surface reconstruction: from points to splines', 'Calendar', 'Special issue: Reverse engineering of geometric models', 'Segmentation of a wrap-around model using an active contour', 'Static polyhedron simplification using error measurements', 'On user-defined features', 'The continuing evolution and update of a literature database for consultation-liaison psychiatry: MICRO-CARES literature search system 1993', 'Indexing biomedical documents: From thesaural to knowledge-based retrieval systems', 'Part orientation and build cost determination in layered manufacturing', 'Automatic identification of non-intersecting machining features from 2D CAD input']","['Computer-Aided Design', 'Computer-Aided Design', 'Renewable and Sustainable Energy Reviews', 'Computer Methods and Programs in Biomedicine', 'Procedia Manufacturing', 'Energy', 'Seminars in Oncology Nursing', 'Serials Review', 'Serials Review', 'Computer-Aided Design', 'Information and Software Technology', 'Journal of Government Information', 'IFAC-PapersOnLine', 'Clinical Microbiology Newsletter', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'General Hospital Psychiatry', 'Artificial Intelligence in Medicine', 'Computer-Aided Design', 'Computer-Aided Design']","Title-Abstr-Key(Content-based image retrieval)  OR Title-Abstr-Key(Image retrieval)  OR Title-Abstr-Key(Informatics)  AND Title(""Three-dimensional object reconstruction from two-dimensional images"")",8,"['Three-dimensional object reconstruction from two-dimensional images', 'High-level cad model acquisition from range images', 'Reverse engineering of geometric models—an introduction', 'Surface reconstruction: from points to splines', 'Calendar', 'Special issue: Reverse engineering of geometric models', 'Segmentation of a wrap-around model using an active contour', 'Static polyhedron simplification using error measurements']","['Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design', 'Computer-Aided Design']",True,00:46:21
